"Country","Region","Construction_end","steel","copper","aluminum","unspecified_metal","wood","paper_cardboard","straw","concrete","cement","aggregates","brick","mortar_plaster","mineral_fill","plaster_board_gypsum","Adobe","Asphalt","Bitumen","natural_stone","cement_asbestos","Clay","siding_unspecified","Ceramics","Glass","Plastics","Polystyrene","PVC","Lineoleum","Carpet","Heraklith","Mineral_wool","full_volume"
"Germany","0",1946,0,0,0,0.0232558139498544,0.0139534883681165,0,0,0.55348837207299,0,0,0.134883720939689,0.269767441879379,0,0,0,0,0.00465116278997087,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Vienna",1946,0.0117314940695627,0.00014448888404294,0.000189903241733752,1.05631689050489e-05,0.0207136681107044,0,0,0.433108588939933,0.00262478766165041,0,0.379976361461994,0.138856020591504,0.000516453290140756,0.00455306057751982,0,0.00108268208830448,0.000869822957570934,0.000565737270280513,0.000847560507781526,0,0,0.00109416122337228,0.00133800128027944,0.000831344818528807,8.8460171473149e-05,0.000169897886981369,6.69705415763264e-05,0,0.000468936450505279,0.00015103480565479,1
"Germany","0",1949,0,0,0,0.0246052148365773,0.0110172603745869,0,0,0.142857142857143,0,0,0.447668013220712,0,0.139184722732281,0.2346676459787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Japan","0",1949,0.0684623367162774,0,0.00388082455791123,0,0.119445453603414,0,0,0.446196604859124,0,0.227211817035016,0,0.0459370096508057,0,0,0,0,0,0,0,0,0,0.0804189189738789,0.00844703460357333,0,0,0,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",1949,0,0,0,0.0100502512562726,0.0522613065516418,0,0,0.200000000000689,0,0.198994974874199,0.536683417065943,0,0,0,0,0,0,0,0,0,0,0,0.00201005025125452,0,0,0,0,0,0,0,1
"Sweden","0",1950,0.127360941252087,0,0,0,0.0243204399175155,0,0,0.383971755295882,0,0.0106227106227106,0.381086581980164,0,0.0695476740968211,0,0,0,0,0,0,0,0,0,0.00308989683481966,0,0,0,0,0,0,0,1
"USA","Los Angeles",1950,0.0179372197294659,0,0,0,0.230941704080924,0,0,0.75112107618961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1951,0.0764025448235975,0,0,0,0.253788316946212,0,0,0.502544823597455,0,0.0609022556390977,0.0285135916714864,0,0.0593406593406593,0,0,0,0.0037593984962406,0,0,0,0,0,0.0059572006940428,0,0,0,0,0,0,0.00879120879120879,1
"Japan","0",1958,0.0659956304290585,0,0.00272159373580064,0,0.080792289675163,0,0,0.569107285872956,0,0.181633231015216,0,0.0404412317979532,0,0,0,0,0,0,0,0,0,0.0535568407077489,0.00575189676610367,0,0,0,0,0,0,0,1
"China","0",1960,0.0106852802546541,0,0,0,0.0090468308543112,0,0,0,0.0842490738458148,0.541373616448907,0.333838396461017,0.0192035698827496,0,0,0,0.000801616126272788,0,0,0,0,0,0,0.000801616126272788,0,0,0,0,0,0,0,1
"Norway","0",1960,0,0,0,0,0.159473684210526,0,0,0.840526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1961,0.112247936389498,0,0,0,0.0355873906014395,0,0,0.639604707830061,0,0.00732950924155513,0.132157425111536,0,0.0558096659360475,0.00416666666666667,0,0,0,0,0,0,0,0,0.00268003155652971,0,0,0,0,0,0,0.0104166666666667,1
"Germany","0",1966,0,0,0,0.0334928229675157,0.00956937798679102,0,0,0.248803827766544,0,0,0.43540669856854,0.272727272710609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",1969,0,0,0,0.0200803212839443,0.0210843373494523,0,0,0.453815261042725,0,0.168674698785764,0.33433734940972,0,0,0,0,0,0,0,0,0,0,0,0.00200803212839443,0,0,0,0,0,0,0,1
"Japan","0",1970,0.0841972038647469,0,0.00350984779786408,0,0.125886432285381,0,0,0.422396808517579,0,0.219574251547791,0,0.0590133935270056,0,0,0,0,0,0,0,0,0,0.0774743448392842,0.00794771762034929,0,0,0,0,0,0,0,1
"Norway","0",1970,0,0,0,0,0.119559072922555,0,0,0.880440927077445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","0",1971,0,0,0,0.0447761194029851,0.00497512437810945,0,0,0.796019900497512,0,0,0,0.149253731343284,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1971,0.150278293135436,0,0,0,0.098330241187384,0,0,0.684601113172542,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0.00185528756957328,0,0,0,0,0,0,0.051948051948052,1
